0: SUCCESS | Shard: shards/shard_0.db | Value: 1176617618.0
64: SUCCESS | Shard: shards/shard_1.db | Value: 2783319829.0
65: SUCCESS | Shard: shards/shard_2.db | Value: 4279.9678
66: SUCCESS | Shard: shards/shard_2.db | Value: 8042.5131
67: SUCCESS | Shard: shards/shard_1.db | Value: 4204372095.0
68: SUCCESS | Shard: shards/shard_2.db | Value: 2349.8807
69: SUCCESS | Shard: shards/shard_2.db | Value: 3091.9906
70: SUCCESS | Shard: shards/shard_1.db | Value: 4023990364.0
71: SUCCESS | Shard: shards/shard_1.db | Value: 824854278.0
72: SUCCESS | Shard: shards/shard_0.db | Value: 801808758.0
73: SUCCESS | Shard: shards/shard_1.db | Value: 119163311.0
74: SUCCESS | Shard: shards/shard_3.db | Value: 3921.0595
75: SUCCESS | Shard: shards/shard_1.db | Value: 4051545837.0
76: SUCCESS | Shard: shards/shard_3.db | Value: 8190.8372
77: SUCCESS | Shard: shards/shard_1.db | Value: 1159372152.0
78: SUCCESS | Shard: shards/shard_3.db | Value: 7524.6719
79: SUCCESS | Shard: shards/shard_0.db | Value: 3449049950.0
80: SUCCESS | Shard: shards/shard_1.db | Value: 3224273383.0
81: SUCCESS | Shard: shards/shard_3.db | Value: 6931.5922
82: SUCCESS | Shard: shards/shard_3.db | Value: 6847.8503
83: SUCCESS | Shard: shards/shard_3.db | Value: 5156.6769
84: SUCCESS | Shard: shards/shard_1.db | Value: 353704657.0
85: SUCCESS | Shard: shards/shard_1.db | Value: 1620197531.0
86: SUCCESS | Shard: shards/shard_3.db | Value: 7177.5473
87: SUCCESS | Shard: shards/shard_2.db | Value: 4857.4108
88: SUCCESS | Shard: shards/shard_1.db | Value: 130675606.0
89: SUCCESS | Shard: shards/shard_1.db | Value: 1060844545.0
90: SUCCESS | Shard: shards/shard_2.db | Value: 509.6409
91: SUCCESS | Shard: shards/shard_3.db | Value: 8431.7512
92: SUCCESS | Shard: shards/shard_3.db | Value: 1119.419
93: SUCCESS | Shard: shards/shard_2.db | Value: 2045.1696
94: SUCCESS | Shard: shards/shard_3.db | Value: 4925.0299
95: SUCCESS | Shard: shards/shard_2.db | Value: 307.9348
96: SUCCESS | Shard: shards/shard_3.db | Value: 477.6854
97: SUCCESS | Shard: shards/shard_0.db | Value: 445116526.0
98: SUCCESS | Shard: shards/shard_0.db | Value: 840832899.0
99: SUCCESS | Shard: shards/shard_0.db | Value: 2412953244.0
100: SUCCESS | Shard: shards/shard_1.db | Value: 607382145.0
101: SUCCESS | Shard: shards/shard_0.db | Value: 2358650052.0
102: SUCCESS | Shard: shards/shard_3.db | Value: 5806.8613
103: SUCCESS | Shard: shards/shard_0.db | Value: 3050284007.0
104: SUCCESS | Shard: shards/shard_0.db | Value: 2555495702.0
105: SUCCESS | Shard: shards/shard_0.db | Value: 3894042871.0
106: SUCCESS | Shard: shards/shard_2.db | Value: 8540.2265
107: SUCCESS | Shard: shards/shard_0.db | Value: 3514708061.0
108: SUCCESS | Shard: shards/shard_1.db | Value: 1259618564.0
109: SUCCESS | Shard: shards/shard_1.db | Value: 262368481.0
110: SUCCESS | Shard: shards/shard_3.db | Value: 7154.0065
111: SUCCESS | Shard: shards/shard_3.db | Value: 716.1661
112: SUCCESS | Shard: shards/shard_3.db | Value: 6189.8752
113: SUCCESS | Shard: shards/shard_2.db | Value: 7407.812
114: SUCCESS | Shard: shards/shard_1.db | Value: 1911333622.0
115: SUCCESS | Shard: shards/shard_0.db | Value: 2584337816.0
116: SUCCESS | Shard: shards/shard_3.db | Value: 2539.3043
117: SUCCESS | Shard: shards/shard_3.db | Value: 6461.6679
118: SUCCESS | Shard: shards/shard_0.db | Value: 3360702917.0
119: SUCCESS | Shard: shards/shard_0.db | Value: 1272899976.0
120: SUCCESS | Shard: shards/shard_1.db | Value: 779022735.0
121: SUCCESS | Shard: shards/shard_3.db | Value: 6581.618
122: SUCCESS | Shard: shards/shard_1.db | Value: 2904428448.0
123: SUCCESS | Shard: shards/shard_2.db | Value: 7102.6359
124: SUCCESS | Shard: shards/shard_1.db | Value: 1353857740.0
125: SUCCESS | Shard: shards/shard_0.db | Value: 1795771114.0
126: SUCCESS | Shard: shards/shard_2.db | Value: 3636.4222
127: SUCCESS | Shard: shards/shard_0.db | Value: 3134287441.0
128: SUCCESS | Shard: shards/shard_1.db | Value: 1727994146.0
129: SUCCESS | Shard: shards/shard_3.db | Value: 8616.7582
130: SUCCESS | Shard: shards/shard_1.db | Value: 873023414.0
131: SUCCESS | Shard: shards/shard_0.db | Value: 2169066411.0
132: SUCCESS | Shard: shards/shard_2.db | Value: 8055.2884
133: SUCCESS | Shard: shards/shard_1.db | Value: 373712112.0
134: SUCCESS | Shard: shards/shard_2.db | Value: 9993.6116
135: SUCCESS | Shard: shards/shard_0.db | Value: 3232029946.0
136: SUCCESS | Shard: shards/shard_1.db | Value: 1464433157.0
137: SUCCESS | Shard: shards/shard_2.db | Value: 5973.4722
138: SUCCESS | Shard: shards/shard_2.db | Value: 7196.9567
139: SUCCESS | Shard: shards/shard_2.db | Value: 6075.5162
140: SUCCESS | Shard: shards/shard_2.db | Value: 8451.4223
141: SUCCESS | Shard: shards/shard_0.db | Value: 4001582148.0
142: SUCCESS | Shard: shards/shard_3.db | Value: 1551.7237
143: SUCCESS | Shard: shards/shard_2.db | Value: 5916.7791
144: SUCCESS | Shard: shards/shard_2.db | Value: 2589.9949
145: SUCCESS | Shard: shards/shard_1.db | Value: 3846365394.0
146: SUCCESS | Shard: shards/shard_3.db | Value: 7965.8601
147: SUCCESS | Shard: shards/shard_0.db | Value: 2653028649.0
148: SUCCESS | Shard: shards/shard_1.db | Value: 1650036808.0
149: SUCCESS | Shard: shards/shard_0.db | Value: 2338228711.0
150: SUCCESS | Shard: shards/shard_0.db | Value: 445340755.0
151: SUCCESS | Shard: shards/shard_1.db | Value: 62208964.0
152: SUCCESS | Shard: shards/shard_1.db | Value: 323978687.0
153: SUCCESS | Shard: shards/shard_1.db | Value: 3282618067.0
154: SUCCESS | Shard: shards/shard_0.db | Value: 1685703879.0
155: SUCCESS | Shard: shards/shard_3.db | Value: 305.2532
156: SUCCESS | Shard: shards/shard_3.db | Value: 9157.302
157: SUCCESS | Shard: shards/shard_3.db | Value: 6532.7888
158: SUCCESS | Shard: shards/shard_3.db | Value: 4039.6737
159: SUCCESS | Shard: shards/shard_0.db | Value: 1374023358.0
160: SUCCESS | Shard: shards/shard_3.db | Value: 9603.9786
161: SUCCESS | Shard: shards/shard_2.db | Value: 7018.8955
162: SUCCESS | Shard: shards/shard_1.db | Value: 1804168018.0
163: SUCCESS | Shard: shards/shard_3.db | Value: 8202.549
164: SUCCESS | Shard: shards/shard_0.db | Value: 2950378583.0
165: SUCCESS | Shard: shards/shard_0.db | Value: 4208700478.0
166: SUCCESS | Shard: shards/shard_1.db | Value: 4011256492.0
167: SUCCESS | Shard: shards/shard_3.db | Value: 3100.2083
168: SUCCESS | Shard: shards/shard_0.db | Value: 1983589826.0
169: SUCCESS | Shard: shards/shard_3.db | Value: 6123.5402
170: SUCCESS | Shard: shards/shard_3.db | Value: 9589.0649
171: SUCCESS | Shard: shards/shard_1.db | Value: 262593204.0
172: SUCCESS | Shard: shards/shard_3.db | Value: 1393.2051
173: SUCCESS | Shard: shards/shard_1.db | Value: 2311383083.0
174: SUCCESS | Shard: shards/shard_3.db | Value: 646.2253
175: SUCCESS | Shard: shards/shard_0.db | Value: 642994429.0
176: SUCCESS | Shard: shards/shard_0.db | Value: 2852991547.0
177: SUCCESS | Shard: shards/shard_2.db | Value: 7625.2754
178: SUCCESS | Shard: shards/shard_3.db | Value: 2658.9323
179: SUCCESS | Shard: shards/shard_2.db | Value: 1386.2592
180: SUCCESS | Shard: shards/shard_0.db | Value: 3626655621.0
181: SUCCESS | Shard: shards/shard_1.db | Value: 2452069919.0
182: SUCCESS | Shard: shards/shard_3.db | Value: 536.0001
183: SUCCESS | Shard: shards/shard_3.db | Value: 4451.7501
184: SUCCESS | Shard: shards/shard_3.db | Value: 15.185
185: SUCCESS | Shard: shards/shard_3.db | Value: 7852.0187
186: SUCCESS | Shard: shards/shard_1.db | Value: 360583672.0
187: SUCCESS | Shard: shards/shard_1.db | Value: 2612197005.0
188: SUCCESS | Shard: shards/shard_2.db | Value: 4874.6074
189: SUCCESS | Shard: shards/shard_0.db | Value: 2180481678.0
190: SUCCESS | Shard: shards/shard_2.db | Value: 1366.6631
191: SUCCESS | Shard: shards/shard_1.db | Value: 3478021912.0
192: SUCCESS | Shard: shards/shard_3.db | Value: 790.6705
193: SUCCESS | Shard: shards/shard_3.db | Value: 6643.1472
194: SUCCESS | Shard: shards/shard_0.db | Value: 828713263.0
195: SUCCESS | Shard: shards/shard_3.db | Value: 2518.6508
196: SUCCESS | Shard: shards/shard_2.db | Value: 3883.6738
197: SUCCESS | Shard: shards/shard_0.db | Value: 2325819714.0
198: SUCCESS | Shard: shards/shard_2.db | Value: 7133.6923
199: SUCCESS | Shard: shards/shard_2.db | Value: 3126.2249
200: SUCCESS | Shard: shards/shard_0.db | Value: 524346878.0
201: SUCCESS | Shard: shards/shard_1.db | Value: 9169616.0
202: SUCCESS | Shard: shards/shard_2.db | Value: 7158.3702
203: SUCCESS | Shard: shards/shard_3.db | Value: 9756.4894
204: SUCCESS | Shard: shards/shard_3.db | Value: 2353.3097
205: SUCCESS | Shard: shards/shard_3.db | Value: 2675.5025
206: SUCCESS | Shard: shards/shard_2.db | Value: 4202.766
207: SUCCESS | Shard: shards/shard_0.db | Value: 1922899925.0
208: SUCCESS | Shard: shards/shard_0.db | Value: 822711216.0
209: SUCCESS | Shard: shards/shard_1.db | Value: 285981728.0
210: SUCCESS | Shard: shards/shard_1.db | Value: 1877483190.0
211: SUCCESS | Shard: shards/shard_2.db | Value: 8801.0763
212: SUCCESS | Shard: shards/shard_0.db | Value: 2832150301.0
213: SUCCESS | Shard: shards/shard_0.db | Value: 3997217015.0
214: SUCCESS | Shard: shards/shard_3.db | Value: 1775.9861
215: SUCCESS | Shard: shards/shard_0.db | Value: 1313251560.0
216: SUCCESS | Shard: shards/shard_3.db | Value: 3095.6952
217: SUCCESS | Shard: shards/shard_3.db | Value: 7827.0054
218: SUCCESS | Shard: shards/shard_2.db | Value: 4873.2295
219: SUCCESS | Shard: shards/shard_2.db | Value: 2945.3139
220: SUCCESS | Shard: shards/shard_1.db | Value: 2978001197.0
221: SUCCESS | Shard: shards/shard_1.db | Value: 2269472653.0
222: SUCCESS | Shard: shards/shard_1.db | Value: 3663349605.0
223: SUCCESS | Shard: shards/shard_0.db | Value: 3156324783.0
224: SUCCESS | Shard: shards/shard_3.db | Value: 7762.79
225: SUCCESS | Shard: shards/shard_1.db | Value: 3006719928.0
226: SUCCESS | Shard: shards/shard_0.db | Value: 3841808333.0
227: SUCCESS | Shard: shards/shard_2.db | Value: 983.2271
228: SUCCESS | Shard: shards/shard_3.db | Value: 8152.517
229: SUCCESS | Shard: shards/shard_0.db | Value: 55752290.0
230: SUCCESS | Shard: shards/shard_2.db | Value: 6316.3059
231: SUCCESS | Shard: shards/shard_3.db | Value: 9139.0296
232: SUCCESS | Shard: shards/shard_2.db | Value: 5925.0147
233: SUCCESS | Shard: shards/shard_0.db | Value: 1020457826.0
234: SUCCESS | Shard: shards/shard_3.db | Value: 4742.4842
235: SUCCESS | Shard: shards/shard_2.db | Value: 741.2499
236: SUCCESS | Shard: shards/shard_1.db | Value: 2624579646.0
237: SUCCESS | Shard: shards/shard_2.db | Value: 9602.3565
238: SUCCESS | Shard: shards/shard_0.db | Value: 1885841432.0
239: SUCCESS | Shard: shards/shard_1.db | Value: 3967321572.0
240: SUCCESS | Shard: shards/shard_3.db | Value: 7996.7613
241: SUCCESS | Shard: shards/shard_0.db | Value: 3964025593.0
242: SUCCESS | Shard: shards/shard_1.db | Value: 403221580.0
243: SUCCESS | Shard: shards/shard_0.db | Value: 613177243.0
244: SUCCESS | Shard: shards/shard_1.db | Value: 2126103901.0
245: SUCCESS | Shard: shards/shard_1.db | Value: 394629984.0
246: SUCCESS | Shard: shards/shard_3.db | Value: 9942.9715
247: SUCCESS | Shard: shards/shard_2.db | Value: 4636.8335
248: SUCCESS | Shard: shards/shard_0.db | Value: 3015608758.0
249: SUCCESS | Shard: shards/shard_2.db | Value: 6290.1461
250: SUCCESS | Shard: shards/shard_1.db | Value: 1957739275.0
251: SUCCESS | Shard: shards/shard_2.db | Value: 4298.8944
252: SUCCESS | Shard: shards/shard_3.db | Value: 9616.6895
253: SUCCESS | Shard: shards/shard_2.db | Value: 7985.3572
254: SUCCESS | Shard: shards/shard_0.db | Value: 2407741600.0
255: SUCCESS | Shard: shards/shard_0.db | Value: 509235301.0
256: SUCCESS | Shard: shards/shard_3.db | Value: 5744.2944
257: SUCCESS | Shard: shards/shard_3.db | Value: 1209.3088
258: SUCCESS | Shard: shards/shard_3.db | Value: 7428.9351
259: SUCCESS | Shard: shards/shard_0.db | Value: 1028524197.0
260: SUCCESS | Shard: shards/shard_2.db | Value: 7074.9499
261: SUCCESS | Shard: shards/shard_3.db | Value: 88.6738
262: SUCCESS | Shard: shards/shard_2.db | Value: 9964.137
263: SUCCESS | Shard: shards/shard_1.db | Value: 4086065163.0
264: SUCCESS | Shard: shards/shard_0.db | Value: 3114316495.0
265: SUCCESS | Shard: shards/shard_1.db | Value: 2516727281.0
266: SUCCESS | Shard: shards/shard_2.db | Value: 6528.3498
267: SUCCESS | Shard: shards/shard_3.db | Value: 4501.8772
268: SUCCESS | Shard: shards/shard_2.db | Value: 8727.5147
269: SUCCESS | Shard: shards/shard_1.db | Value: 1527160516.0
270: SUCCESS | Shard: shards/shard_1.db | Value: 3758253263.0
271: SUCCESS | Shard: shards/shard_0.db | Value: 4237961073.0
272: SUCCESS | Shard: shards/shard_1.db | Value: 907456069.0
273: SUCCESS | Shard: shards/shard_1.db | Value: 3211772512.0
274: SUCCESS | Shard: shards/shard_2.db | Value: 8975.3282
275: SUCCESS | Shard: shards/shard_0.db | Value: 1372694041.0
276: SUCCESS | Shard: shards/shard_2.db | Value: 6944.4491
277: SUCCESS | Shard: shards/shard_1.db | Value: 595335124.0
278: SUCCESS | Shard: shards/shard_2.db | Value: 851.4103
279: SUCCESS | Shard: shards/shard_0.db | Value: 4063765887.0
280: SUCCESS | Shard: shards/shard_2.db | Value: 6581.0209
281: SUCCESS | Shard: shards/shard_2.db | Value: 3775.1785
282: SUCCESS | Shard: shards/shard_1.db | Value: 844238990.0
283: SUCCESS | Shard: shards/shard_1.db | Value: 1096960973.0
284: SUCCESS | Shard: shards/shard_3.db | Value: 692.4825
285: SUCCESS | Shard: shards/shard_0.db | Value: 2443274488.0
286: SUCCESS | Shard: shards/shard_1.db | Value: 1004368881.0
287: SUCCESS | Shard: shards/shard_3.db | Value: 1692.1993
288: SUCCESS | Shard: shards/shard_2.db | Value: 885.4917
289: SUCCESS | Shard: shards/shard_2.db | Value: 3217.0249
290: SUCCESS | Shard: shards/shard_0.db | Value: 4185215530.0
291: SUCCESS | Shard: shards/shard_2.db | Value: 4619.5232
292: SUCCESS | Shard: shards/shard_3.db | Value: 8990.798
293: SUCCESS | Shard: shards/shard_0.db | Value: 133204512.0
294: SUCCESS | Shard: shards/shard_0.db | Value: 4192568209.0
295: SUCCESS | Shard: shards/shard_1.db | Value: 2657934428.0
296: SUCCESS | Shard: shards/shard_3.db | Value: 7998.6553
297: SUCCESS | Shard: shards/shard_3.db | Value: 2983.1397
298: SUCCESS | Shard: shards/shard_0.db | Value: 1151416251.0
299: SUCCESS | Shard: shards/shard_3.db | Value: 7948.8071
300: SUCCESS | Shard: shards/shard_2.db | Value: 2438.9701
301: SUCCESS | Shard: shards/shard_3.db | Value: 2212.9175
302: SUCCESS | Shard: shards/shard_2.db | Value: 317.1796
303: SUCCESS | Shard: shards/shard_1.db | Value: 1187923043.0
304: SUCCESS | Shard: shards/shard_2.db | Value: 1805.9707
305: SUCCESS | Shard: shards/shard_2.db | Value: 7004.7643
306: SUCCESS | Shard: shards/shard_3.db | Value: 6882.9138
307: SUCCESS | Shard: shards/shard_2.db | Value: 7851.6791
308: SUCCESS | Shard: shards/shard_3.db | Value: 1380.2318
309: SUCCESS | Shard: shards/shard_2.db | Value: 6694.6861
310: SUCCESS | Shard: shards/shard_2.db | Value: 5622.5637
311: SUCCESS | Shard: shards/shard_1.db | Value: 3549379219.0
312: SUCCESS | Shard: shards/shard_2.db | Value: 1309.4864
313: SUCCESS | Shard: shards/shard_2.db | Value: 3773.1234
314: SUCCESS | Shard: shards/shard_1.db | Value: 2155223917.0
315: SUCCESS | Shard: shards/shard_1.db | Value: 4004041969.0
316: SUCCESS | Shard: shards/shard_3.db | Value: 8413.9103
317: SUCCESS | Shard: shards/shard_1.db | Value: 45293090.0
318: SUCCESS | Shard: shards/shard_3.db | Value: 5945.9832
319: SUCCESS | Shard: shards/shard_3.db | Value: 2510.6562
320: SUCCESS | Shard: shards/shard_0.db | Value: 3985203647.0
321: SUCCESS | Shard: shards/shard_3.db | Value: 9595.9894
322: SUCCESS | Shard: shards/shard_0.db | Value: 1653679795.0
323: SUCCESS | Shard: shards/shard_2.db | Value: 362.5041
324: SUCCESS | Shard: shards/shard_1.db | Value: 2794219030.0
325: SUCCESS | Shard: shards/shard_3.db | Value: 8325.0676
326: SUCCESS | Shard: shards/shard_1.db | Value: 1910566951.0
327: SUCCESS | Shard: shards/shard_2.db | Value: 291.1619
328: SUCCESS | Shard: shards/shard_0.db | Value: 4134612503.0
329: SUCCESS | Shard: shards/shard_3.db | Value: 5381.468
330: SUCCESS | Shard: shards/shard_0.db | Value: 1734731279.0
331: SUCCESS | Shard: shards/shard_0.db | Value: 2669323702.0
332: SUCCESS | Shard: shards/shard_1.db | Value: 3920935227.0
333: SUCCESS | Shard: shards/shard_3.db | Value: 1478.615
334: SUCCESS | Shard: shards/shard_0.db | Value: 1108123255.0
335: SUCCESS | Shard: shards/shard_3.db | Value: 9196.8488
336: SUCCESS | Shard: shards/shard_0.db | Value: 869372547.0
337: SUCCESS | Shard: shards/shard_0.db | Value: 1352385141.0
338: SUCCESS | Shard: shards/shard_0.db | Value: 2681362353.0
339: SUCCESS | Shard: shards/shard_2.db | Value: 8890.264
340: SUCCESS | Shard: shards/shard_1.db | Value: 2458333623.0
341: SUCCESS | Shard: shards/shard_1.db | Value: 3220064024.0
342: SUCCESS | Shard: shards/shard_1.db | Value: 325281557.0
343: SUCCESS | Shard: shards/shard_3.db | Value: 9092.7172
344: SUCCESS | Shard: shards/shard_1.db | Value: 2591866826.0
345: SUCCESS | Shard: shards/shard_2.db | Value: 4022.323
346: SUCCESS | Shard: shards/shard_0.db | Value: 2276326443.0
347: SUCCESS | Shard: shards/shard_1.db | Value: 1379857535.0
348: SUCCESS | Shard: shards/shard_0.db | Value: 1919728265.0
349: SUCCESS | Shard: shards/shard_2.db | Value: 4491.923
350: SUCCESS | Shard: shards/shard_1.db | Value: 1855954537.0
351: SUCCESS | Shard: shards/shard_3.db | Value: 8131.0233
352: SUCCESS | Shard: shards/shard_3.db | Value: 1080.3314
353: SUCCESS | Shard: shards/shard_1.db | Value: 2167069399.0
354: SUCCESS | Shard: shards/shard_2.db | Value: 158.3275
355: SUCCESS | Shard: shards/shard_2.db | Value: 3042.8996
356: SUCCESS | Shard: shards/shard_0.db | Value: 629697149.0
357: SUCCESS | Shard: shards/shard_0.db | Value: 4135075153.0
358: SUCCESS | Shard: shards/shard_1.db | Value: 3810952709.0
359: SUCCESS | Shard: shards/shard_2.db | Value: 4947.3365
360: SUCCESS | Shard: shards/shard_3.db | Value: 494.4239
361: SUCCESS | Shard: shards/shard_2.db | Value: 2671.9996
362: SUCCESS | Shard: shards/shard_2.db | Value: 1292.803
363: SUCCESS | Shard: shards/shard_1.db | Value: 1768519489.0
364: SUCCESS | Shard: shards/shard_3.db | Value: 9225.381
365: SUCCESS | Shard: shards/shard_2.db | Value: 3208.9519
366: SUCCESS | Shard: shards/shard_1.db | Value: 1091055256.0
367: SUCCESS | Shard: shards/shard_1.db | Value: 3573505240.0
368: SUCCESS | Shard: shards/shard_0.db | Value: 3151863877.0
369: SUCCESS | Shard: shards/shard_1.db | Value: 3929285124.0
370: SUCCESS | Shard: shards/shard_2.db | Value: 361.9415
371: SUCCESS | Shard: shards/shard_1.db | Value: 1094395660.0
372: SUCCESS | Shard: shards/shard_0.db | Value: 1310725111.0
373: SUCCESS | Shard: shards/shard_2.db | Value: 8232.823
374: SUCCESS | Shard: shards/shard_0.db | Value: 3700186396.0
375: SUCCESS | Shard: shards/shard_2.db | Value: 5166.062
376: SUCCESS | Shard: shards/shard_1.db | Value: 3670376863.0
377: SUCCESS | Shard: shards/shard_3.db | Value: 7813.302
378: SUCCESS | Shard: shards/shard_2.db | Value: 725.2391
379: SUCCESS | Shard: shards/shard_2.db | Value: 1994.4908
380: SUCCESS | Shard: shards/shard_2.db | Value: 9228.672
381: SUCCESS | Shard: shards/shard_1.db | Value: 161712374.0
382: SUCCESS | Shard: shards/shard_2.db | Value: 5566.2222
383: SUCCESS | Shard: shards/shard_2.db | Value: 110.4075
384: SUCCESS | Shard: shards/shard_0.db | Value: 780905083.0
385: SUCCESS | Shard: shards/shard_0.db | Value: 3113591790.0
386: SUCCESS | Shard: shards/shard_2.db | Value: 371.2771
387: SUCCESS | Shard: shards/shard_1.db | Value: 974524862.0
388: SUCCESS | Shard: shards/shard_0.db | Value: 4050746566.0
389: SUCCESS | Shard: shards/shard_1.db | Value: 4083497179.0
390: SUCCESS | Shard: shards/shard_3.db | Value: 7001.4175
391: SUCCESS | Shard: shards/shard_0.db | Value: 3708768653.0
392: SUCCESS | Shard: shards/shard_1.db | Value: 4017435972.0
393: SUCCESS | Shard: shards/shard_3.db | Value: 7833.6481
394: SUCCESS | Shard: shards/shard_3.db | Value: 1569.6819
395: SUCCESS | Shard: shards/shard_1.db | Value: 1923270805.0
396: SUCCESS | Shard: shards/shard_2.db | Value: 9337.6047
397: SUCCESS | Shard: shards/shard_1.db | Value: 2290543790.0
398: SUCCESS | Shard: shards/shard_3.db | Value: 8259.9166
399: SUCCESS | Shard: shards/shard_1.db | Value: 3437794631.0
400: SUCCESS | Shard: shards/shard_2.db | Value: 4826.5228
401: SUCCESS | Shard: shards/shard_0.db | Value: 2757796464.0
402: SUCCESS | Shard: shards/shard_0.db | Value: 2011300857.0
403: SUCCESS | Shard: shards/shard_1.db | Value: 3968557386.0
404: SUCCESS | Shard: shards/shard_1.db | Value: 1975305463.0
405: SUCCESS | Shard: shards/shard_2.db | Value: 3479.1261
406: SUCCESS | Shard: shards/shard_2.db | Value: 3753.6099
407: SUCCESS | Shard: shards/shard_2.db | Value: 7391.2435
408: SUCCESS | Shard: shards/shard_3.db | Value: 3823.5492
409: SUCCESS | Shard: shards/shard_0.db | Value: 977166157.0
410: SUCCESS | Shard: shards/shard_3.db | Value: 1819.9507
411: SUCCESS | Shard: shards/shard_1.db | Value: 2271152859.0
412: SUCCESS | Shard: shards/shard_0.db | Value: 1175169621.0
413: SUCCESS | Shard: shards/shard_0.db | Value: 1185091784.0
414: SUCCESS | Shard: shards/shard_2.db | Value: 5410.9318
415: SUCCESS | Shard: shards/shard_1.db | Value: 780007984.0
416: SUCCESS | Shard: shards/shard_0.db | Value: 3741737661.0
417: SUCCESS | Shard: shards/shard_2.db | Value: 4777.5484
418: SUCCESS | Shard: shards/shard_1.db | Value: 1002687228.0
